Date,종가,대비,거래량(주),거래대금(원),시가,pHigh,pLow,시가총액(백만),상장주식수(주),sHigh,sLow
2019-12-30,"8,900",-110,"66,268","590,964,150","9,000","9,040","8,850","124,600","14,000,000","90,900","88,100"
2019-12-27,"9,010",-320,"173,688","1,574,252,160","9,240","9,250","8,970","126,140","14,000,000","87,500","84,200"
2019-12-26,"9,330",50,"78,542","731,809,870","9,300","9,360","9,250","130,620","14,000,000","85,800","83,700"
2019-12-24,"9,280",50,"78,568","727,974,940","9,230","9,330","9,220","129,920","14,000,000","86,600","84,000"
2019-12-23,"9,230",50,"66,994","621,038,240","9,200","9,380","9,180","129,220","14,000,000","86,800","85,500"
2019-12-20,"9,180",-10,"61,595","567,078,280","9,200","9,280","9,150","128,520","14,000,000","86,700","85,600"
2019-12-19,"9,190",50,"61,711","566,139,230","9,140","9,240","9,080","128,660","14,000,000","86,100","84,800"
2019-12-18,"9,140",30,"36,240","330,237,610","9,110","9,200","9,050","127,960","14,000,000","86,600","85,000"
2019-12-17,"9,110",10,"73,482","674,889,840","9,150","9,300","9,060","127,540","14,000,000","85,600","84,700"
2019-12-16,"9,100",10,"36,952","335,708,960","9,200","9,200","9,030","127,400","14,000,000","85,700","84,500"
2019-12-13,"9,090",160,"40,627","368,247,690","9,000","9,130","8,990","127,260","14,000,000","86,400","84,500"
2019-12-12,"8,930",-140,"75,069","679,851,740","9,000","9,220","8,910","125,020","14,000,000","84,200","83,100"
2019-12-11,"9,070",140,"85,691","771,744,340","8,960","9,160","8,810","126,980","14,000,000","83,700","81,300"
2019-12-10,"8,930",-240,"143,655","1,313,191,000","9,390","9,400","8,930","125,020","14,000,000","81,900","80,200"
2019-12-09,"9,170",160,"91,384","836,952,940","9,050","9,250","9,040","128,380","14,000,000","81,500","80,400"
2019-12-06,"9,010",290,"81,939","731,464,690","8,730","9,050","8,730","126,140","14,000,000","81,500","80,400"
2019-12-05,"8,720",20,"85,205","741,128,630","8,660","8,840","8,560","122,080","14,000,000","82,500","80,200"
2019-12-04,"8,700",10,"50,301","436,860,050","8,710","8,790","8,600","121,800","14,000,000","83,300","81,600"
2019-12-03,"8,690",180,"109,924","956,223,890","8,360","8,840","8,360","121,660","14,000,000","84,100","82,000"
2019-12-02,"8,510",210,"113,678","958,678,980","8,200","8,630","8,150","119,140","14,000,000","85,300","83,200"
2019-11-29,"8,300",-460,"127,203","1,079,808,180","8,710","8,880","8,300","116,200","14,000,000","85,400","83,300"
2019-11-28,"8,760",-190,"76,377","677,148,890","8,950","9,050","8,710","122,640","14,000,000","84,600","81,600"
2019-11-27,"8,950",-60,"42,473","379,516,470","8,960","9,090","8,890","125,300","14,000,000","83,200","82,200"
2019-11-26,"9,010",-20,"55,199","495,276,110","9,000","9,150","8,880","126,140","14,000,000","82,500","81,500"
2019-11-25,"9,030",130,"46,150","416,151,460","8,900","9,130","8,900","126,420","14,000,000","82,500","81,300"
2019-11-22,"8,900",-40,"75,320","673,742,470","8,840","9,100","8,840","124,600","14,000,000","80,000","78,700"
